"CensoPorModalidad","CodigoCFR","Nombre","PuertoBase","Eslora","Peso_DO","Peso_NV"
"CERCO EN CANTABRICO NW","ESP000026006","Montserrat Morenita","Portosin",23.45,115378.88,93618.1
"CERCO EN CANTABRICO NW","ESP000026064","Gure Gogoa","Orio",37,489018.89,490770.35
"CERCO EN CANTABRICO NW","ESP000026157","Gure Imanol","Santurtzi",21,686978.3,686815.25
"CERCO EN CANTABRICO NW","ESP000026211","Ongi Etorri","Ondarroa",33,379559.4,378780.9
"CERCO EN CANTABRICO NW","ESP000026217","Sempre Galaico","Cambados",26,143859.2,137855.7
"CERCO EN CANTABRICO NW","ESP000026240","Madre Lucia (ex Toñin)","Laredo",27,105553.25,73544
"CERCO EN CANTABRICO NW","ESP000026262","Mi Nombre Cinco","Vigo",23.93,185648.5,179292
"CERCO EN CANTABRICO NW","ESP000026370","Itsas Lagunak","Hondarribia",33.5,868249.9,867821
"CERCO EN CANTABRICO NW","ESP000026388","Ansia","Pasaia",27.14,1015633.3,1014255.75
"CERCO EN CANTABRICO NW","ESP000026404","Tercero dos Meros","Cambados",18,119928,108200.7
"CERCO EN CANTABRICO NW","ESP000026628","Tecelana","Sada",19,83135.8,77207.9
"CERCO EN CANTABRICO NW","ESP000026741","Abra de Aguiño","Santa Uxia de Ribeira",27.14,427633,371872
"CERCO EN CANTABRICO NW","ESP000027056","Segunda Romina","Portosin",23,149187.5,133195.5
"CERCO EN CANTABRICO NW","ESP000027375","Tribal","Vigo",20.5,102377.7,94068.4
"CERCO EN CANTABRICO NW","ESP000027558","Playa del Astilleru","Lastres",14.99,120821.3,121518.1
"CERCO EN CANTABRICO NW","ESP000027587","Santiño do Mar","Malpica de Bergantiños",21,90712.5,80420.6
"CERCO EN CANTABRICO NW","ESP000027743","Kantauri","Getaria",27.55,1022994.42,1016145.73
"CERCO EN CANTABRICO NW","ESP000027744","O Titan","Portosin",23,159172.5,141229
"CERCO EN CANTABRICO NW","ESP000100081","Pasa Aqui","A Coruña",22,18071.9,18071.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000007966","Ana Jesus","Luarca",10.5,2483.91,2315.6
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000021836","Pico da Lebre","Celeiro",15.75,221.52,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000022321","Abra de Muxia (ex El Patron)","Muxia",19,5016,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023081","Pescalema (ex Iriana)","Muxia",18.4,37684.61,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023517","Madre Pilar","Laredo",17.5,81812.24,1572.7
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023747","Cu ca","Muxia",22.5,19282.8,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024356","Gure Fatima","Bermeo",28.1,156287.61,156268.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024496","Nuevo Hermanos Suarez","Cudillero",15.1,7955.47,196
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024514","Arlanpi","Ondarroa",23,153761.69,152086.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024947","Otzarri Berria","Bermeo",25,174572,174962
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025023","Atain","Camariñas",22.46,59353.08,31.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025055","Nuberu","Cudillero",16.5,2171,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025065","El David","Cudillero",11.99,15704.84,358.3
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025292","Koroko (ex Urresti Berria)","Bermeo",21,126959,127015.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025426","Corvo","Muxia",24.95,16763.71,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025490","Itoitz","Ondarroa",23,153739.27,152281.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025501","Gure Itxaropena","Hondarribia",21,187471.11,187551.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025650","Arantzazuko Izarra","Hondarribia",23.38,190577.5,190581.7
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026233","Kala Berri","Pasaia",13.34,34131.11,33194.6
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026311","Gure Itxas Begi","Bermeo",21,154189.55,152670.35
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026367","Nuevo Carmen","Cudillero",12.53,12888.7,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026384","Matxaku","Bermeo",23,145616,145586.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026985","Mar de Pedro","Cudillero",13.38,1665.78,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027482","Vikinjo","Carreira",14.99,3464.41,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027730","Siempre San Pablo","Puerto de Vega",20,3518.97,NA
"PALANGRE DE FONDO MENORES 100 TRB EN VIIIabde.","ESP000024507","Segmon","Puerto de Vega",22,100134.24,4526.4
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000015657","Toniño Segundo","Ondarroa",19.34,486589.92,330396
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000024130","Gure Leire (ex Nuevo Ruiz Saez)","Ondarroa",22,32316.64,22652.6
"RASCO EN CANTABRICO NW","ESP000023015","Caraba","Bermeo",25.9,173296.72,169196.3
"RASCO EN CANTABRICO NW","ESP000023019","Almikeko Ama (ex Beti Txanka)","Bermeo",25.35,170388.02,168072.8
"RASCO EN CANTABRICO NW","ESP000024328","Leporre Anaiak","Bermeo",28.55,158933.5,158934.1
"RASCO EN CANTABRICO NW","ESP000024627","Gaztelugatxeko Doniene","Pasaia",18,157054.03,155655.7
"RASCO EN CANTABRICO NW","ESP000025194","Nuevo Maxi y Mario (ex Nueva Amaya)","Santoña",11.75,433.6,284.6
"RASCO EN CANTABRICO NW","ESP000026239","Goienkale (ex Gure Leporre Berria)","Bermeo",23.79,221425.76,216210.8
"VOLANTA EN CANTABRICO NW","ESP000024172","Berriz Albonigamayor","Bermeo",26.5,188015.53,188283.25
"VOLANTA EN CANTABRICO NW","ESP000024831","Peixiño primero (ex Bermagui)","Cariño",23.45,16617.62,NA
"VOLANTA EN CANTABRICO NW","ESP000025792","Berezmar","Bustio",17.7,13784.09,10822.2
"VOLANTA EN CANTABRICO NW","ESP000026670","Beti Lagun Bi","Bermeo",23.45,171299.55,169266.92
