"CensoPorModalidad","CodigoCFR","Nombre","LABORATORIO","PuertoBase","Eslora","Peso_DO","Peso_NV"
"CERCO EN CANTABRICO NW","ESP000024986","Nuevo Aires Ason","IEO","Colindres",28.5,55302.6,NA
"CERCO EN CANTABRICO NW","ESP000025115","Demar","AZTI","Bermeo",25.12,61046,60910.7
"CERCO EN CANTABRICO NW","ESP000025115","Demar","IEO","Bermeo",25.12,144068,145442
"CERCO EN CANTABRICO NW","ESP000025177","Estrella Polar Primero","AZTI","Colindres",27.5,197162.8,196042.8
"CERCO EN CANTABRICO NW","ESP000025177","Estrella Polar Primero","IEO","Colindres",27.5,62273,NA
"CERCO EN CANTABRICO NW","ESP000025229","Beti Piedad","AZTI","Getaria",36,327523,342287
"CERCO EN CANTABRICO NW","ESP000025229","Beti Piedad","IEO","Getaria",36,113503.6,98739.6
"CERCO EN CANTABRICO NW","ESP000025230","Aita Ramon","AZTI","Hondarribia",21,75333,73827.8
"CERCO EN CANTABRICO NW","ESP000025230","Aita Ramon","IEO","Hondarribia",21,62163,64170.7
"CERCO EN CANTABRICO NW","ESP000025231","Tuku Tuku","AZTI","Hondarribia",32,456254.7,465645.1
"CERCO EN CANTABRICO NW","ESP000025231","Tuku Tuku","IEO","Hondarribia",32,116536.43,105998.43
"CERCO EN CANTABRICO NW","ESP000025232","Arrantzale (3SS13-01)","AZTI","Hondarribia",32,430476.19,429584.35
"CERCO EN CANTABRICO NW","ESP000025232","Arrantzale (3SS13-01)","IEO","Hondarribia",32,26492.2,26492.2
"CERCO EN CANTABRICO NW","ESP000025233","Kaximirona","AZTI","Getaria",33.5,401974.65,421386.25
"CERCO EN CANTABRICO NW","ESP000025233","Kaximirona","IEO","Getaria",33.5,112702.3,88953.3
"CERCO EN CANTABRICO NW","ESP000025257","Siempre al Alba","AZTI","Santoña",27.4,67907.5,69180.7
"CERCO EN CANTABRICO NW","ESP000025257","Siempre al Alba","IEO","Santoña",27.4,65332.5,NA
"CERCO EN CANTABRICO NW","ESP000025287","Kalamua Bi","AZTI","Lekeitio",31.6,454582,454605.5
"CERCO EN CANTABRICO NW","ESP000025287","Kalamua Bi","IEO","Lekeitio",31.6,35077,35081.5
"CERCO EN CANTABRICO NW","ESP000025310","Berriz Ave Maria","AZTI","Orio",35.6,423579.41,423482.2
"CERCO EN CANTABRICO NW","ESP000025310","Berriz Ave Maria","IEO","Orio",35.6,52739,52683.6
"CERCO EN CANTABRICO NW","ESP000025315","Agustin Deuna","AZTI","Getaria",36.2,454345,454263.05
"CERCO EN CANTABRICO NW","ESP000025315","Agustin Deuna","IEO","Getaria",36.2,124991,124548.7
"CERCO EN CANTABRICO NW","ESP000025320","San Antonio Berria","AZTI","Orio",34.8,392868,392436.26
"CERCO EN CANTABRICO NW","ESP000025320","San Antonio Berria","IEO","Orio",34.8,7087,7055.4
"CERCO EN CANTABRICO NW","ESP000025321","Beti Aingeru","AZTI","Orio",33.28,503970.55,501511.5
"CERCO EN CANTABRICO NW","ESP000025321","Beti Aingeru","IEO","Orio",33.28,53798,55952.1
"CERCO EN CANTABRICO NW","ESP000025325","Aitana del Mar (ex Nuevo Jose David)","AZTI","Laredo",27.19,104421.5,104451.3
"CERCO EN CANTABRICO NW","ESP000025325","Aitana del Mar (ex Nuevo Jose David)","IEO","Laredo",27.19,38169.55,NA
"CERCO EN CANTABRICO NW","ESP000025405","Cruceiro de Pazos","AZTI","Sada",18.85,121172.3,121209.3
"CERCO EN CANTABRICO NW","ESP000025540","Txingudi","AZTI","Hondarribia",31.6,447817.6,441888
"CERCO EN CANTABRICO NW","ESP000025540","Txingudi","IEO","Hondarribia",31.6,15033.6,20972.2
"CERCO EN CANTABRICO NW","ESP000025562","Sempre Güeto (ex San Xiao Primero)","AZTI","Portosin",22,103023.2,103023.2
"CERCO EN CANTABRICO NW","ESP000025562","Sempre Güeto (ex San Xiao Primero)","IEO","Portosin",22,7362,NA
"CERCO EN CANTABRICO NW","ESP000025568","Berriz Kukuarri (ex Gure Aita Joxe)","AZTI","Donostia",32,528429,523661.9
"CERCO EN CANTABRICO NW","ESP000025568","Berriz Kukuarri (ex Gure Aita Joxe)","IEO","Donostia",32,14995,18696.7
"CERCO EN CANTABRICO NW","ESP000025586","Chiquita dos","AZTI","Vigo",21.41,97972.4,97983.4
"CERCO EN CANTABRICO NW","ESP000025586","Chiquita dos","IEO","Vigo",21.41,6958.8,NA
"CERCO EN CANTABRICO NW","ESP000025595","Novo Cazador","AZTI","A Coruña",18.85,2500,2500
"CERCO EN CANTABRICO NW","ESP000025595","Novo Cazador","IEO","A Coruña",18.85,4729,NA
"CERCO EN CANTABRICO NW","ESP000025604","Izaskun Berria","AZTI","Getaria",36,610518.7,600498.1
"CERCO EN CANTABRICO NW","ESP000025604","Izaskun Berria","IEO","Getaria",36,109574.5,119574.3
"CERCO EN CANTABRICO NW","ESP000025606","Attona Domingo","AZTI","Hondarribia",33.33,592720.5,589743.85
"CERCO EN CANTABRICO NW","ESP000025606","Attona Domingo","IEO","Hondarribia",33.33,42745,45749.7
"CERCO EN CANTABRICO NW","ESP000025608","Azkoitia","AZTI","Getaria",33,350449.35,376734.9
"CERCO EN CANTABRICO NW","ESP000025608","Azkoitia","IEO","Getaria",33,131129.2,104835.2
"CERCO EN CANTABRICO NW","ESP000025616","Mater Bi","AZTI","Getaria",37,297393.5,297477.5
"CERCO EN CANTABRICO NW","ESP000025616","Mater Bi","IEO","Getaria",37,82749.8,82754.7
"CERCO EN CANTABRICO NW","ESP000025857","O Poche","AZTI","Carreira",18.15,138296.6,138297
"CERCO EN CANTABRICO NW","ESP000025857","O Poche","IEO","Carreira",18.15,26498.3,NA
"CERCO EN CANTABRICO NW","ESP000025869","Nuestro Padre Tonino","AZTI","Laredo",31,288797.6,307947.6
"CERCO EN CANTABRICO NW","ESP000025869","Nuestro Padre Tonino","IEO","Laredo",31,110445.8,NA
"CERCO EN CANTABRICO NW","ESP000025888","Berriz Patxiku","AZTI","Getaria",30.4,225173.6,225235.2
"CERCO EN CANTABRICO NW","ESP000025888","Berriz Patxiku","IEO","Getaria",30.4,58400.1,58400.2
"CERCO EN CANTABRICO NW","ESP000025901","Lekanda","AZTI","Bermeo",23,127116.4,126770.3
"CERCO EN CANTABRICO NW","ESP000025901","Lekanda","IEO","Bermeo",23,106761,106762.6
"CERCO EN CANTABRICO NW","ESP000025909","Portosin Dos","AZTI","Portosin",23.45,148884,148906.5
"CERCO EN CANTABRICO NW","ESP000025909","Portosin Dos","IEO","Portosin",23.45,17937,NA
"CERCO EN CANTABRICO NW","ESP000025935","Novo Touriñan (ex Casal Novo)","AZTI","Camariñas",19,22440.5,22440.5
"CERCO EN CANTABRICO NW","ESP000025935","Novo Touriñan (ex Casal Novo)","IEO","Camariñas",19,1915,NA
"CERCO EN CANTABRICO NW","ESP000025996","San Fermin Berria","AZTI","Hondarribia",33.3,396936,396907.5
"CERCO EN CANTABRICO NW","ESP000025996","San Fermin Berria","IEO","Hondarribia",33.3,19887,19888.8
"CERCO EN CANTABRICO NW","ESP000026006","Montserrat Morenita","AZTI","Portosin",23.45,101556.18,93618.1
"CERCO EN CANTABRICO NW","ESP000026006","Montserrat Morenita","IEO","Portosin",23.45,13822.7,NA
"CERCO EN CANTABRICO NW","ESP000026064","Gure Gogoa","AZTI","Orio",37,330990.29,351327.05
"CERCO EN CANTABRICO NW","ESP000026064","Gure Gogoa","IEO","Orio",37,158028.6,139443.3
"CERCO EN CANTABRICO NW","ESP000026157","Gure Imanol","AZTI","Santurtzi",21,624563.55,624400.5
"CERCO EN CANTABRICO NW","ESP000026157","Gure Imanol","IEO","Santurtzi",21,62414.75,62414.75
"CERCO EN CANTABRICO NW","ESP000026211","Ongi Etorri","AZTI","Ondarroa",33,322762.6,353597.1
"CERCO EN CANTABRICO NW","ESP000026211","Ongi Etorri","IEO","Ondarroa",33,56796.8,25183.8
"CERCO EN CANTABRICO NW","ESP000026217","Sempre Galaico","AZTI","Cambados",26,137870.6,137855.7
"CERCO EN CANTABRICO NW","ESP000026217","Sempre Galaico","IEO","Cambados",26,5988.6,NA
"CERCO EN CANTABRICO NW","ESP000026240","Madre Lucia (ex Toñin)","AZTI","Laredo",27,73544,73544
"CERCO EN CANTABRICO NW","ESP000026240","Madre Lucia (ex Toñin)","IEO","Laredo",27,32009.25,NA
"CERCO EN CANTABRICO NW","ESP000026262","Mi Nombre Cinco","AZTI","Vigo",23.93,178240.5,179292
"CERCO EN CANTABRICO NW","ESP000026262","Mi Nombre Cinco","IEO","Vigo",23.93,7408,NA
"CERCO EN CANTABRICO NW","ESP000026370","Itsas Lagunak","AZTI","Hondarribia",33.5,607986.7,607556.6
"CERCO EN CANTABRICO NW","ESP000026370","Itsas Lagunak","IEO","Hondarribia",33.5,260263.2,260264.4
"CERCO EN CANTABRICO NW","ESP000026388","Ansia","AZTI","Pasaia",27.14,393669.6,395828.2
"CERCO EN CANTABRICO NW","ESP000026388","Ansia","IEO","Pasaia",27.14,621963.7,618427.55
"CERCO EN CANTABRICO NW","ESP000026404","Tercero dos Meros","AZTI","Cambados",18,108193,108200.7
"CERCO EN CANTABRICO NW","ESP000026404","Tercero dos Meros","IEO","Cambados",18,11735,NA
"CERCO EN CANTABRICO NW","ESP000026628","Tecelana","AZTI","Sada",19,77207.9,77207.9
"CERCO EN CANTABRICO NW","ESP000026628","Tecelana","IEO","Sada",19,5927.9,NA
"CERCO EN CANTABRICO NW","ESP000026741","Abra de Aguiño","AZTI","Santa Uxia de Ribeira",27.14,371817.1,371872
"CERCO EN CANTABRICO NW","ESP000026741","Abra de Aguiño","IEO","Santa Uxia de Ribeira",27.14,55815.9,NA
"CERCO EN CANTABRICO NW","ESP000027056","Segunda Romina","AZTI","Portosin",23,133196.3,133195.5
"CERCO EN CANTABRICO NW","ESP000027056","Segunda Romina","IEO","Portosin",23,15991.2,NA
"CERCO EN CANTABRICO NW","ESP000027375","Tribal","AZTI","Vigo",20.5,94068.4,94068.4
"CERCO EN CANTABRICO NW","ESP000027375","Tribal","IEO","Vigo",20.5,8309.3,NA
"CERCO EN CANTABRICO NW","ESP000027558","Playa del Astilleru","AZTI","Lastres",14.99,66848.61,63043.9
"CERCO EN CANTABRICO NW","ESP000027558","Playa del Astilleru","IEO","Lastres",14.99,53972.69,58474.2
"CERCO EN CANTABRICO NW","ESP000027587","Santiño do Mar","AZTI","Malpica de Bergantiños",21,80425.4,80420.6
"CERCO EN CANTABRICO NW","ESP000027587","Santiño do Mar","IEO","Malpica de Bergantiños",21,10287.1,NA
"CERCO EN CANTABRICO NW","ESP000027743","Kantauri","AZTI","Getaria",27.55,649623.82,655865.23
"CERCO EN CANTABRICO NW","ESP000027743","Kantauri","IEO","Getaria",27.55,373370.6,360280.5
"CERCO EN CANTABRICO NW","ESP000027744","O Titan","AZTI","Portosin",23,141221.3,141229
"CERCO EN CANTABRICO NW","ESP000027744","O Titan","IEO","Portosin",23,17951.2,NA
"CERCO EN CANTABRICO NW","ESP000100081","Pasa Aqui","AZTI","A Coruña",22,18071.9,18071.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000007966","Ana Jesus","AZTI","Luarca",10.5,2483.91,2315.6
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000021836","Pico da Lebre","AZTI","Celeiro",15.75,2,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000021836","Pico da Lebre","IEO","Celeiro",15.75,219.52,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000022321","Abra de Muxia (ex El Patron)","AZTI","Muxia",19,4724.05,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000022321","Abra de Muxia (ex El Patron)","IEO","Muxia",19,291.95,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023081","Pescalema (ex Iriana)","AZTI","Muxia",18.4,33319.64,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023081","Pescalema (ex Iriana)","IEO","Muxia",18.4,4364.97,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023517","Madre Pilar","AZTI","Laredo",17.5,81812.24,1572.7
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023747","Cu ca","AZTI","Muxia",22.5,18893.19,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000023747","Cu ca","IEO","Muxia",22.5,389.61,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024356","Gure Fatima","AZTI","Bermeo",28.1,131885.61,131870.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024356","Gure Fatima","IEO","Bermeo",28.1,24402,24398
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024496","Nuevo Hermanos Suarez","AZTI","Cudillero",15.1,5652.17,196
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024496","Nuevo Hermanos Suarez","IEO","Cudillero",15.1,2303.3,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024514","Arlanpi","AZTI","Ondarroa",23,152411.69,138555.3
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024514","Arlanpi","IEO","Ondarroa",23,1350,13531.2
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000024947","Otzarri Berria","AZTI","Bermeo",25,174572,174962
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025023","Atain","AZTI","Camariñas",22.46,52631.44,31.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025023","Atain","IEO","Camariñas",22.46,6721.64,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025055","Nuberu","AZTI","Cudillero",16.5,2171,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025065","El David","AZTI","Cudillero",11.99,14331.19,358.3
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025065","El David","IEO","Cudillero",11.99,1373.65,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025292","Koroko (ex Urresti Berria)","AZTI","Bermeo",21,80932,94565
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025292","Koroko (ex Urresti Berria)","IEO","Bermeo",21,46027,32450.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025426","Corvo","AZTI","Muxia",24.95,12399.23,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025426","Corvo","IEO","Muxia",24.95,4364.48,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025490","Itoitz","AZTI","Ondarroa",23,153739.27,140154
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025490","Itoitz","IEO","Ondarroa",23,NA,12127.9
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025501","Gure Itxaropena","AZTI","Hondarribia",21,122994.61,123075.4
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025501","Gure Itxaropena","IEO","Hondarribia",21,64476.5,64476.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025650","Arantzazuko Izarra","AZTI","Hondarribia",23.38,111846,111850.2
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025650","Arantzazuko Izarra","IEO","Hondarribia",23.38,78731.5,78731.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026233","Kala Berri","AZTI","Pasaia",13.34,34131.11,33194.6
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026311","Gure Itxas Begi","AZTI","Bermeo",21,38130.62,36842
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026311","Gure Itxas Begi","IEO","Bermeo",21,116058.93,115828.35
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026367","Nuevo Carmen","AZTI","Cudillero",12.53,12030.19,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026367","Nuevo Carmen","IEO","Cudillero",12.53,858.51,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026384","Matxaku","AZTI","Bermeo",23,74100,74100
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026384","Matxaku","IEO","Bermeo",23,71516,71486.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026985","Mar de Pedro","AZTI","Cudillero",13.38,1205.13,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026985","Mar de Pedro","IEO","Cudillero",13.38,460.65,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027482","Vikinjo","IEO","Carreira",14.99,3464.41,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027730","Siempre San Pablo","AZTI","Puerto de Vega",20,1357.65,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027730","Siempre San Pablo","IEO","Puerto de Vega",20,2161.32,NA
"PALANGRE DE FONDO MENORES 100 TRB EN VIIIabde.","ESP000024507","Segmon","AZTI","Puerto de Vega",22,64501.01,4526.4
"PALANGRE DE FONDO MENORES 100 TRB EN VIIIabde.","ESP000024507","Segmon","IEO","Puerto de Vega",22,35633.23,NA
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000015657","Toniño Segundo","AZTI","Ondarroa",19.34,478906.84,330396
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000015657","Toniño Segundo","IEO","Ondarroa",19.34,7683.08,NA
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000024130","Gure Leire (ex Nuevo Ruiz Saez)","AZTI","Ondarroa",22,20730.49,17787.6
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000024130","Gure Leire (ex Nuevo Ruiz Saez)","IEO","Ondarroa",22,11586.15,4865
"RASCO EN CANTABRICO NW","ESP000023015","Caraba","AZTI","Bermeo",25.9,171137.72,169196.3
"RASCO EN CANTABRICO NW","ESP000023015","Caraba","IEO","Bermeo",25.9,2159,NA
"RASCO EN CANTABRICO NW","ESP000023019","Almikeko Ama (ex Beti Txanka)","AZTI","Bermeo",25.35,151934.52,159399.3
"RASCO EN CANTABRICO NW","ESP000023019","Almikeko Ama (ex Beti Txanka)","IEO","Bermeo",25.35,18453.5,8673.5
"RASCO EN CANTABRICO NW","ESP000024328","Leporre Anaiak","AZTI","Bermeo",28.55,98644,98644
"RASCO EN CANTABRICO NW","ESP000024328","Leporre Anaiak","IEO","Bermeo",28.55,60289.5,60290.1
"RASCO EN CANTABRICO NW","ESP000024627","Gaztelugatxeko Doniene","AZTI","Pasaia",18,135280.53,129660.7
"RASCO EN CANTABRICO NW","ESP000024627","Gaztelugatxeko Doniene","IEO","Pasaia",18,21773.5,25995
"RASCO EN CANTABRICO NW","ESP000025194","Nuevo Maxi y Mario (ex Nueva Amaya)","AZTI","Santoña",11.75,NA,284.6
"RASCO EN CANTABRICO NW","ESP000025194","Nuevo Maxi y Mario (ex Nueva Amaya)","IEO","Santoña",11.75,433.6,NA
"RASCO EN CANTABRICO NW","ESP000026239","Goienkale (ex Gure Leporre Berria)","AZTI","Bermeo",23.79,110855.76,105859.3
"RASCO EN CANTABRICO NW","ESP000026239","Goienkale (ex Gure Leporre Berria)","IEO","Bermeo",23.79,110570,110351.5
"VOLANTA EN CANTABRICO NW","ESP000024172","Berriz Albonigamayor","AZTI","Bermeo",26.5,179344.53,179612.25
"VOLANTA EN CANTABRICO NW","ESP000024172","Berriz Albonigamayor","IEO","Bermeo",26.5,8671,8671
"VOLANTA EN CANTABRICO NW","ESP000024831","Peixiño primero (ex Bermagui)","AZTI","Cariño",23.45,10131.35,NA
"VOLANTA EN CANTABRICO NW","ESP000024831","Peixiño primero (ex Bermagui)","IEO","Cariño",23.45,6486.27,NA
"VOLANTA EN CANTABRICO NW","ESP000025792","Berezmar","AZTI","Bustio",17.7,11938.69,10822.2
"VOLANTA EN CANTABRICO NW","ESP000025792","Berezmar","IEO","Bustio",17.7,1845.4,NA
"VOLANTA EN CANTABRICO NW","ESP000026670","Beti Lagun Bi","AZTI","Bermeo",23.45,75675.8,75676.1
"VOLANTA EN CANTABRICO NW","ESP000026670","Beti Lagun Bi","IEO","Bermeo",23.45,95623.75,93590.82
