Nombre Buque;Cód UE;Pareja;Cód UE Pareja;Puerto Venta;Puerto Base;Trimestre;Trimestre Desembarco;Año;Año construcción;TRB;GT;Potencia CV;Potencia KW;Eslora total;Eslora PP;Zona;Metier;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;Kg Desembarcados;Kg Desemb Peso Vivo;Precio por Kg;Precio Total
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;1;1;2020;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;63,1;63,1;3,25;205,075
Berriz Patxiku;ESP000025888;;;Getaria;Getaria;2;2;2020;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;28,6;28,6;1,1;31,46
Berriz Patxiku;ESP000025888;;;Pasaia;Getaria;1;1;2020;2004;;287;1039,4;;30,4;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2222,5;2222,5;1,04943982;2332,38
Beti Aingeru;ESP000025321;;;Getaria;Orio;4;4;2020;2002;133;162;800;;33,28;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;974;974;;
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;2;2;2019;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;4054;4054;1,313186976;5323,66
Beti Euskal Herria;ESP000021353;;;Ondarroa;Bermeo;2;2;2019;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;18153,4;18153,4;1,176293201;21353,721
Beti Euskal Herria;ESP000021353;;;Santurtzi;Bermeo;4;4;2019;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;2633;2633;0,238484618;627,93
Beti Gure Iskander (ex Martin Albizu Anaiak);ESP000027112;;;Santurtzi;Santurtzi;4;4;2020;2008;49,17;33,24;128;;16,52;;27.8.c;LLS_DEF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;10,2;10,2;0,602941176;6,15
Beti Iskander (ex Herbosa);ESP000023352;;;Bermeo;Santurtzi;4;4;2020;1996;3,85;4,13;21;;8,8;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;5,7;5,7;1,058421053;6,033
Beti Iskander (ex Herbosa);ESP000023352;;;Santurtzi;Santurtzi;1;1;2020;1996;3,85;4,13;21;;8,8;;27.8.c;GNS_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;13,5;13,5;3,783703704;51,08
Beti Lagun Bi;ESP000026670;;;Bermeo;Bermeo;1;1;2019;2006;59,81;97,38;388;;23,45;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;35056;35056;1,303150103;45683,23
Beti Piedad;ESP000025229;;;Getaria;Getaria;4;4;2020;2001;149,94;231;500;;36;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;133;133;1,1;146,3
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;1;1;2019;2001;3,96;3,63;30;;10,05;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;32,4;32,4;0,263888889;8,55
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;1;1;2019;2001;3,96;3,63;30;;10,05;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;2419,4;2419,4;1,421791767;3439,883
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;2;2;2020;2001;3,96;3,63;30;;10,05;;27.8.abd;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;10684;10684;0,737251966;7876,8
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;2;2;2020;2001;3,96;3,63;30;;10,05;;27.8.abd;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;45,7;45,7;1,543894967;70,556
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;4;3;2020;2001;3,96;3,63;30;;10,05;;27.8.abd;LLS_DEF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1;1;3,4;3,4
Beti San Luis;ESP000010863;;;Getaria;Orio;2;2;2019;1972;149,92;161;760;;28,5;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;28887,7;28887,7;1,285083963;37123,12
