Código,Buque,Folio,Código UE,Código MMSI,Código Radio,Baja,Fecha baja,Observaciones,Año construcción,Fecha metier,Metier principal,Metier secundario,Fecha puerto base,Puerto base,Fecha características técnicas,TRB,GT,Eslora,Potencia,Caladero principal,Tipo pesca principal,Segmento,Varios,CensoPorModalidad,Notas
2460,A Gaveira,3FE230-06,ESP000022095,224043180,EB7435,FALSO,,,1991,01/01/2019,PS_SPF_0_0_0,LHM_SPF_0_0_0,01/01/2019,Celeiro,01/01/2019,17.6,32,18.2,195,CERCO EN CANTABRICO NW,,Bajura,,CERCO EN CANTABRICO NW,
847,A Tenencia (ex Maria Javier),3CO73618,ESP000021641,224003580,EA3884,FALSO,,,1989,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Sada,01/01/2019,63.12,61,21.32,425,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
2,Abasolo,3BI22578,ESP000000170,,,VERDADERO,29/05/2006,,1971,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,18.8,19,15,128,ARTES MENORES EN CANTABRICO NW,Artes Menores,,,ARTES MENORES EN CANTABRICO NW,
2329,Abelan Uno,3GI51-95,ESP000023265,224313150,EB2568,FALSO,,Propietarios del antiguo Hemendik (Luis) que se hundió en febrero 2010,1995,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Pasaia,01/01/2019,5.26,5.85,9.25,24,ARTES MENORES EN CANTABRICO NW,,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
1444,Abiko (ex Hermanos Yañez),UL577,GBR000B13955,,,VERDADERO,13/06/2012,,1986,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Ullapool,01/01/2019,117.25,179.87,23.72,624,,,,,Pabellón extranjero,
2223,Abra de Aguiño,3VILL1406,ESP000026741,224192570,ECKS,FALSO,,Entrada en servicio 27/07/2006,2006,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Santa Uxia de Ribeira,01/01/2019,85.9,113,27.14,380,CERCO EN CANTABRICO NW,,Bajura,,CERCO EN CANTABRICO NW,
2652,Abra de Muxia (ex El Patron),3GI71-92,ESP000022321,224019420,EA5692,FALSO,,,1992,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Muxia,01/01/2019,30.72,69.43,19,145,PALANGRE DE FONDO EN CANTABRICO NW,PALANGRE DE FONDO,Bajura,,PALANGRE DE FONDO EN CANTABRICO NW,
2679,Abrela,3VI59-99,ESP000024284,,EAVW,FALSO,,,1999,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Celeiro,01/01/2019,,363,35.6,390,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIa",,,,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
1513,Acantilado de los Gigantes,3TE13813,ESP000001152,,,VERDADERO,12/02/1997,,1973,,,,01/01/2019,Bermeo,,,,,,,,,,,
1347,Adina,D665,IRL000I11618,,,VERDADERO,26/05/2004,,1993,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Dublin,01/01/2019,,300,33.53,615,,,,,Pabellón extranjero,
1389,Aditi,LR 649477,FRA000649477,227868000,FHCI,FALSO,,,1984,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,La Rochelle,01/01/2019,34.9,46,17.65,294,,,,,Pabellón extranjero,
2374,Adrialex,3FE12-98,ESP000024129,,,FALSO,,,1999,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Burela,01/01/2019,6.61,7.61,11.1,85,ARTES MENORES EN CANTABRICO NW,,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
1467,Adriana Tercero (ex Garcia Antuña),3GI74-99,ESP000024493,,EB5055,FALSO,,,1999,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Bustio,01/01/2019,5.02,6.27,7.95,60,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
2320,Ael-Mat,LO 846759,FRA000846759,,,FALSO,,,1995,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Noirmutier,01/01/2019,,3,8.22,96,,,,,Pabellón extranjero,
7,Agarimo Dous,3FE11916,ESP000022209,224105580,EA2933,FALSO,,,1991,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Ares,01/01/2019,75.36,81.94,25,410,CERCO EN CANTABRICO NW,Cerco,,,CERCO EN CANTABRICO NW,
8,Agate Deuna,3BI22750,ESP000000214,,,VERDADERO,07/09/2006,censo mapa: hundimiento sustitutorio de desguace,1979,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,19.79,27,17,280,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
9,Agora,BA 545336,FRA000545336,,,VERDADERO,31/12/2008,,1981,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Hendaye,01/01/2019,221.6,,,1000,,,,,Pabellón extranjero,
10,Agorreta,LR 724656,FRA000724656,227338000,FGOO,FALSO,,,1990,01/01/2019,GNS_DEF_60-79_0_0,LLS_DEF_0_0_0,01/01/2019,La Rochelle,01/01/2019,,238,26.7,294,,,,,Pabellón extranjero,
12,Aguirre Anayak,3BI40123,ESP000010481,,,VERDADERO,26/04/2001,"EN CEN NAC  APARECE EN SANTANDER. VER FECHA DE VENTA
censo mapa: desguazado",1972,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Santander,01/01/2019,34.84,46.34,20,215,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
13,Agur,BA 487068,FRA000487068,,,FALSO,,,1981,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
14,Agurtza,3BI12999,ESP000003106,,,VERDADERO,26/04/2001,,1969,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Lekeitio,01/01/2019,134.4,122,24.5,425,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
1353,Agurtza Berria,3BI11-00,ESP000024912,224224000,EBSJ,FALSO,,,2000,01/01/2019,PS_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Lekeitio,01/01/2019,125.2,162,30,420,CERCO EN CANTABRICO NW,CERCO,CERCO,,CERCO EN CANTABRICO NW,
15,Agustin Aguirrebengoa,3XXX0004,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,,,,,,,,,,,
1423,Agustin Deuna,3SS31-02,ESP000025315,224056190,EBYD,FALSO,,Sustituto del Beti San Agustin. Entrada en servicio 18/7/02,2002,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Getaria,01/01/2019,149.5,226,36.2,1100,CERCO EN CANTABRICO NW,CERCO,Bajura,,CERCO EN CANTABRICO NW,
16,Ahaldena,BA 724746,FRA000724746,,FOPB,FALSO,,,1991,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
1514,Ahalmea,3XXX0688,,,,VERDADERO,31/12/1999,,,,,,01/01/2019,Francia,,,,,,,,,,,
1515,Ainara,3XXX0449,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Hondarribia,,,,,,,,,,,
18,Ainara,3SS12278,ESP000010636,,,VERDADERO,24/03/2003,,1974,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Hondarribia,01/01/2019,33.22,38.14,16.6,180.06,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
20,Ainara Txiki,3XXX0005,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Hondarribia,,,,,,,,,,,
21,Aingeru Guardakoa,3SS21790,ESP000010860,,,VERDADERO,06/05/2002,Su sustituto es el Beti Aingeru,1966,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Orio,01/01/2019,126.51,127,27.52,700,CERCO EN CANTABRICO NW,,,,CERCO EN CANTABRICO NW,
23,Ainhoa,3XXX0006,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Getaria,01/01/2019,,,,,,,,,,
1457,Ainholara,3GI87-95,ESP000023160,224153750,EB2405,FALSO,,,1995,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Luarca,01/01/2019,19.27,23,16,120,PALANGRE DE FONDO EN CANTABRICO NW,PALANGRE DE FONDO,,,PALANGRE DE FONDO EN CANTABRICO NW,
2448,Aire Pejin,3ST63-02,ESP000025702,,,FALSO,,,2003,01/01/2019,GNS_DEF_60-79_0_0,LHM_SPF_0_0_0,01/01/2019,San Vicente de la Barquera,01/01/2019,15.66,14.28,12.5,141,ARTES MENORES EN CANTABRICO NW,,,,ARTES MENORES EN CANTABRICO NW,
1519,Aires de Santoña,3ST31806,ESP000009087,,,VERDADERO,16/03/2000,,1965,,,,01/01/2019,Santoña,,,,,,,,,,,
1520,Aires de Santurce,3BI32619,ESP000010185,,,VERDADERO,30/06/1995,"Fecha de baja del registro europeo, pero tenemos mareas hasta dic-95",1965,,,,01/01/2019,Santurtzi,,,,,,,,,,,
24,Aires del Ason,3ST21420,ESP000015011,,,VERDADERO,11/05/2002,,1986,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Colindres,01/01/2019,106.67,94.57,26.15,450,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
1521,Aita Casto,3XXX0008,,,,VERDADERO,31/12/1998,Baja por cese de desembarcos,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
26,Aita Domingo,3SS12261,ESP000009970,,,VERDADERO,10/07/2003,,1973,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Hondarribia,01/01/2019,104.01,97.46,25.5,700,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
28,Aita Joxe,3SS12-96,ESP000023420,224216490,EB4216,FALSO,,,1996,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Hondarribia,01/01/2019,3.96,3.63,10.05,28,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
29,Aita Manuel,3XXX0010,,,,VERDADERO,31/12/1999,Baja por cese de desembarcos,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
1405,Aita Ramon,3SS12-01,ESP000025230,224041540,EA5711,FALSO,,"Fecha de entrada en servicio 4/4/02
en censo de cerco CN pero Tunidos a currican y mac a lineas, no tiene redes a bordo!!!!",2001,01/01/2019,LHM_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Hondarribia,01/01/2019,57.65,58,21,252.96,CERCO EN CANTABRICO NW,CERCO,,,CERCO EN CANTABRICO NW,
1523,Aita Semeak,3BI22675,ESP000007809,,,VERDADERO,09/02/1995,"Fecha de baja del CFR europeo, pero tenemos mareas hasta May-95",1974,,,,01/01/2019,Bermeo,,,,,,,,,,,
31,Aita Semeak Berria,3BI22870,ESP000021331,,,VERDADERO,01/02/2011,,1989,01/01/2019,LHM_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,70.52,80,25,200,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
2217,Aitana del Mar (ex Nuevo Jose David),3ST45-01,ESP000025325,224064850,EBWK,FALSO,,,2002,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Laredo,01/01/2019,133.45,154,27.19,400,CERCO EN CANTABRICO NW,CERCO,Bajura,,CERCO EN CANTABRICO NW,
32,Aitona Peio,3XXX0012,,,,VERDADERO,31/12/1999,Baja por cese de desembarcos,,,,,01/01/2019,Donostia,01/01/2019,,,,,,,,,,
33,Aitor,3XXX0013,,,,VERDADERO,31/12/1998,Baja por cese de desembarcos,,,,,01/01/2019,Donostia,01/01/2019,,,,,,,,,,
1524,Aitor eta Mikel,3XXX0014,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1525,Aizpea,3XXX0438,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Ondarroa,,,,,,,,,,,
1363,Akaman,3XXX0800,,,,VERDADERO,31/12/2005,Baja por cese de ventas,,01/01/2019,UNK_0_0_0,,01/01/2019,Desconocido,,,,,,,,,,,
1526,Akatz,3BI40222,ESP000012018,,,VERDADERO,17/02/2000,ESP000012018,1967,,,,01/01/2019,Ondarroa,,,,,,,,,,,
37,Aketxe,3BI43-95,ESP000023062,224087530,EALG,FALSO,,A veces aparece como B. (Bodega) Artape,1995,01/01/2019,PTB_MPD_>=55_0_0,,01/01/2019,Ondarroa,01/01/2019,138.5,195.53,26,270,ARRASTRE DE FONDO EN CANTABRICO NW,Arrastre de Fondo,Arrastre de Fondo,,ARRASTRE DE FONDO EN CANTABRICO NW,
39,Akillamendi,3BI40144,ESP000010482,,,VERDADERO,18/05/2007,no aparece en el censo del mapa y no tiene info de precios,1973,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Ondarroa,01/01/2019,223.45,262,34.32,700,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.",Palangre de Fondo,Palangre de Fondo,Palangre de Fondo,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde",
2259,Akillamendi Berria,3BI41-07,ESP000026948,225341000,ECMN,FALSO,,,2007,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Ondarroa,01/01/2019,195,399,35.4,540,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.",,,,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde",
40,Akotz,BA 301024,FRA000301024,,,VERDADERO,22/02/1996,,,,,,01/01/2019,Bayonne,01/01/2019,,,,,,,,,Pabellón extranjero,
42,Alain Bi,3SS31418,ESP000021920,224283330,EB5107,FALSO,,,1990,01/01/2019,GNS_DEF_60-79_0_0,FPO,01/01/2019,Getaria,01/01/2019,4.99,4.34,8.2,34,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
524,Alakrantxu (ex Gure Balenziaga),4BI22-16,ESP000023522,,EAON,FALSO,,18/02/05 IGH+JM: Este barco pesca a cebo vivo en África (el propio barco actúa como objeto y otro barco francés pesca). De cerco a cebo vivo,1997,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,149,235.25,36,500,SIN CENSO ABIERTO,,,"EN EL CENSO EUROPEO APARECE COMO ""RET""",SIN CENSO ABIERTO,
1528,Alay Alde,3SS12274,ESP000001040,,,VERDADERO,21/07/1998,,,,,,01/01/2019,Vigo,,,,,,,,,,,
43,Alba Do Mar,3GI42174,ESP000015939,,,VERDADERO,25/03/2013,,1988,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Celeiro,01/01/2019,128.37,191,28,500,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.",Arrastre,,,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde",
1529,Alba Eder,3XXX0450,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
45,Albacora Diecisiete,3VI59866,ESP000012503,,EA7235,VERDADERO,03/06/2004,03/06/2004,1985,01/01/2019,PS_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Ondarroa,01/01/2019,74.43,78,21.3,511,CERCO EN CANTABRICO NW,Cerco,,,CERCO EN CANTABRICO NW,
46,Albacora Ocho,3BI22697,ESP000000126,,,VERDADERO,04/05/2004,,1977,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,144.63,202,,700,CERCO EN CANTABRICO NW,Cerco,,,CERCO EN CANTABRICO NW,
47,Albacora Siete,3BI22696,ESP000007783,,,VERDADERO,26/10/2004,,1975,01/01/2019,PS_SPF_0_0_0,LHP_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,144.63,202,31.34,700,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
1530,Albako Izarra,3SS12392,ESP000010674,,,VERDADERO,27/07/2000,hon,1972,,,,01/01/2019,Hondarribia,,,,,,,,,,,
2767,Albamar,A-3504-C,PRT000020835,,CUFB9,FALSO,,,1999,01/01/2019,OTB_SPF_>=55_0_0,,01/01/2019,Aveiro,01/01/2019,165.93,249,28.2,588.44,,,,,Pabellón extranjero,
1531,Albariño,3VILL50105,ESP000007557,,,VERDADERO,06/05/1997,,,,,,01/01/2019,Zierbena,,,,,,,,,,,
2293,Albator II,BA 683671,FRA000683671,227512000,FHVE,FALSO,,,1987,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Bayonne,01/01/2019,,166.6,24.4,588,,,,,Pabellón extranjero,
50,Albatros,3XXX0017,,,,VERDADERO,31/12/2004,Por inactividad lo pongo en baja,,01/01/2019,PTB_MPD_>=55_0_0,,01/01/2019,Concarneau,01/01/2019,,,,,,,,,Pabellón extranjero,
51,Albatros (IR),G75,IRL000I10024,,,VERDADERO,31/12/2000,Baja por cese ventas. Datos del unico barcos irlandes con ese nombre,,,,,01/01/2019,Irlanda,01/01/2019,,,,,,,,,Pabellón extranjero,
52,Albatros (PA),3XXX0696,,,,VERDADERO,31/12/1999,Baja por cese de desembarcos,,01/01/2019,GNS_DEF_100-119_0_0,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
53,Albo Puertas,3ST12-97,ESP000023804,224103750,EA3191,FALSO,,,1998,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Castro Urdiales,01/01/2019,57.62,75.61,24,216,CERCO EN CANTABRICO NW,Cerco,,,CERCO EN CANTABRICO NW,
54,Alboniga Mayor Anaiak,3BI22762,ESP000007786,,,VERDADERO,03/07/2007,,1981,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Donostia,01/01/2019,61.63,70,24.5,275,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
55,Aldebaran,LR 550130,FRA000550130,,,VERDADERO,06/05/2010,,1981,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,La Rochelle,01/01/2019,,,,,,,,,Pabellón extranjero,
2770,Aldebaran,BA 925619,FRA000925619,,FAA4831,FALSO,,,2011,01/01/2019,LLS_DEF_0_0_0,FPO_CRU_0_0_0,01/01/2019,Bayonne,01/01/2019,,7,9.9,167,,,,,Pabellón extranjero,
56,Alegria,3BI32914,ESP000010149,,,VERDADERO,15/01/2004,,1967,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Zierbena,01/01/2019,16.76,12.78,14.5,120,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
57,Alejandro Arreitunandia,3XXX0019,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
58,Alejandro Goenaga,3XXX0020,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Mutriku,01/01/2019,,,,,,,,,,
59,Alerta Esta Segundo,3ST21396,ESP000003880,,,VERDADERO,17/07/2001,,1975,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Colindres,01/01/2019,77.33,73.8,22.7,270,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
1533,Alex Elezgaray,3XXX0021,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Mutriku,,,,,,,,,,,
1534,Alfonso eta Maxi,3XXX0022,,,,VERDADERO,31/12/1996,,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1535,Alfontxo,3XXX0023,,,,VERDADERO,31/12/1998,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1536,Ali,3XXX0024,,,,VERDADERO,31/12/1996,,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1537,Aligote,3VI57842,ESP000009832,,,VERDADERO,25/06/1997,,,,,,01/01/2019,Pasaia,,,,,,,,,,,
1330,Alje,3XXX0026,,,,VERDADERO,31/12/2002,Baja por cese de ventas,,01/01/2019,UNK_0_0_0,,01/01/2019,Desconocido,,,,,,,,,,,
66,Alkamil,3XXX0710,,,,VERDADERO,31/12/2000,Baja por cese de ventas,,,,,01/01/2019,Concarneau,01/01/2019,,,,,,,,,Pabellón extranjero,
67,Alkartasuna,3BI22598,ESP000000117,,,VERDADERO,10/12/2003,,1971,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Lastres,01/01/2019,19.65,23.83,13.8,160,Cantabrico Noroeste,Palangre de Fondo,Palangre de Fondo,Palangre de Fondo,PALANGRE DE FONDO EN CANTABRICO NW,
71,Allegro,BA 115959,FRA000115959,227828000,FZCM,FALSO,,Exportado el 1/11/2012,1973,01/01/2019,OTB_DEF_>=70_0_0,,01/01/2019,Bayonne,01/01/2019,230.92,179,35.4,,,,,,Pabellón extranjero,
245,Almikeko Ama (ex Beti Txanka),3BI22-95,ESP000023019,224081790,EA7862,FALSO,,Cambia de nombre con fecha 25/11/2003,1995,01/01/2019,GNS_DEF_>=100_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,76.74,93,25.35,316,RASCO EN CANTABRICO NW,Artes Menores,,,RASCO EN CANTABRICO NW,
68,Almiketxu,3SS12232,ESP000009518,,,VERDADERO,22/09/2000,,1972,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Ondarroa,01/01/2019,216.92,197,32.22,800,,,,,,
527,Almirante Berria (ex Gure Gizizti),3BI26-99,ESP000024515,224096770,EA4240,FALSO,,,2000,01/01/2019,PS_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Hondarribia,01/01/2019,75.46,114.23,26.5,480,CERCO EN CANTABRICO NW,Cerco,,,CERCO EN CANTABRICO NW,
1539,Alondra,3VI59157,ESP000003278,,,VERDADERO,24/04/1998,,,,,,01/01/2019,Sada,,,,,,,,,,,
69,Alto de Oiz,3BI22392,ESP000000120,,,VERDADERO,21/02/1995,,1963,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Bermeo,01/01/2019,114.7,100,24,540,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
70,Alto de Umbe,3BI22672,ESP000000188,,,VERDADERO,17/02/2006,,1974,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,37.93,36,19,180,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
1427,Altupesca,3XXX0826,,,,VERDADERO,31/12/2002,Baja por cese de ventas,,01/01/2019,UNK_0_0_0,,01/01/2019,Desconocido,,,,,,,,,,,
72,Ama Anita,3BI13075,ESP000000055,,,VERDADERO,10/12/2004,,1982,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Santoña,01/01/2019,4.52,3.23,9.22,63,Cantabrico Noroeste,Artes Menores,Artes Menores,Artes Menores,ARTES MENORES EN CANTABRICO NW,
73,Ama Antxiñe,M567,GBR000B12652,,,VERDADERO,31/12/1996,"El barco se retiro en 2009 como Liper Dos (antes tb Juno), pero en Ondarroa solo desembarco en 1996",,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Milford Haven,01/01/2019,,,,,,,,,Pabellón extranjero,
75,Ama Cayetana,3XXX0027,,,,VERDADERO,31/12/2001,Baja por cese de ventas,,01/01/2019,REC_0_0_0,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
1540,Ama Conchita,3XXX0028,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
77,Ama Guadalupekoa,3XXX0532,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
78,Ama Lur,3BI40196,ESP000010483,,,VERDADERO,06/03/2002,,1972,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Celeiro,01/01/2019,203.01,222,29.32,700,VOLANTA EN CANTABRICO NW,Palangre de Fondo,Palangre de Fondo,Palangre de Fondo,VOLANTA EN CANTABRICO NW,
1542,Ama Milagros,3XXX0030,,,,VERDADERO,31/12/1995,,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
2157,Amares (ex Isturiz Anaiak),3SS18-03,ESP000026151,224129190,EA7708,FALSO,,"Según muestreadores está vendido, en censo nac y registro europeo de flota en San Sebastian",2004,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Donostia,01/01/2019,35.04,35,16.48,228,ARTES MENORES EN CANTABRICO NW,Artes menores,Artes menores,,ARTES MENORES EN CANTABRICO NW,
85,Amatxo (3BI21-96),3BI21-96,ESP000023244,224139780,EA2621,FALSO,,"Segun Gaizka (cofr) 2018, 2019 y 2020 el verdel hace a lineas de mano,la anchoa y lo de fuera de costera de verdel a cerco antes a cerco 2018.",1996,01/01/2019,PS_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,78,94,25.56,624,CERCO EN CANTABRICO NW,Cerco,Bajura,,CERCO EN CANTABRICO NW,
83,Amatxo (SS1-2227),3SS12227,ESP000010639,,,VERDADERO,21/03/2001,,1972,01/01/2019,PS_SPF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Hondarribia,01/01/2019,24.95,25.34,17.2,160,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
1544,Amatxo Txiki,3XXX0034,,,,VERDADERO,31/12/1996,baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
86,Amaya (Lanchero de San Juan),3XXX0484,,,,VERDADERO,31/12/1996,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
1545,Amaya II,3XXX0035,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
89,Amets,3SS12-94,ESP000022800,224254750,EB2601,FALSO,,,1994,01/01/2019,LLS_DEF_0_0_0,LTL_LPF_0_0_0,01/01/2019,Getaria,01/01/2019,19.38,41.73,15.65,120,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
1549,Amparo Mari,3ST42373,ESP000003881,,,VERDADERO,08/05/1998,"Error en la asignacion de codigos, tiene ventas en 1999",,,,,01/01/2019,Colindres,,,,,,,,,,,
90,Amphitrite,LR 421900,FRA000421900,,,VERDADERO,19/04/2005,No seguro que se trate del mismo Amphitrite. hay varios,,01/01/2019,UNK_0_0_0,,01/01/2019,La Rochelle,01/01/2019,,,,,,,,,Pabellón extranjero,
2264,Amua,3BI31-99,ESP000024802,224233630,,FALSO,,,2001,01/01/2019,GNS_DEF_60-79_0_0,,01/01/2019,Plentzia,01/01/2019,3.96,3.63,10.05,40,ARTES MENORES EN CANTABRICO NW,ARTES MENORES,ARTES MENORES,,ARTES MENORES EN CANTABRICO NW,
1550,Amuko,3SS12309,ESP000009517,,,VERDADERO,28/06/2001,,1975,,,,01/01/2019,Santander,,,,,,,,,,,
