Código,Buque,Folio,Código UE,Código MMSI,Código Radio,Baja,Fecha baja,Observaciones,Año construcción,Fecha metier,Metier principal,Metier secundario,Fecha puerto base,Puerto base,Fecha características técnicas,TRB,GT,Eslora,Potencia,Caladero principal,Tipo pesca principal,Segmento,Varios,CensoPorModalidad,Notas
283,Calo Berria,3SS12306,ESP000007568,,,VERDADERO,03/03/2005,Pareja del Cruz Sexto,1975,01/01/2019,PTB_MPD_>=55_0_0,,01/01/2019,Pasaia,01/01/2019,243.57,254.6,36.6,1200,"Zona CIEM Vb, VI, VII y VIIIabd",Palangre de Fondo,Palangre de Fondo,Palangre de Fondo,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde",
285,Camaron III,3XXX0097,,,,VERDADERO,31/12/1995,baja por cese de ventas,,,,,01/01/2019,Ondarroa,01/01/2019,,,,,,,,,,
286,Camel Fish,3XXX0435,,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Gran Bretaña,01/01/2019,,,,,,,,,Pabellón extranjero,
1620,Campos,3XXX0542,,,,VERDADERO,31/12/1996,baja por cese de ventas,,,,,01/01/2019,Desconocido,,,,,,,,,,,
288,Canalechebarria,3FE23-96,ESP000023204,224218930,EA2510,FALSO,,,1996,01/01/2019,GNS_DEF_60-79_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,83.3,107.42,26,316,ARTES MENORES EN CANTABRICO NW,Artes Menores,Artes Menores,,ARTES MENORES EN CANTABRICO NW,
290,Cangrexo,3CO73513,ESP000007361,,,VERDADERO,11/05/2005,,1983,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Portosin,01/01/2019,46.39,45.29,18.25,280,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
2756,Canizas,3CO31-18,ESP000100025,,,FALSO,,,2018,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Malpica de Bergantiños,01/01/2019,41.18,40.21,17.8,140,CERCO EN CANTABRICO NW,,,,CERCO EN CANTABRICO NW,
292,Cantabrico Dos,3BI42-98,ESP000024246,,,VERDADERO,10/08/2005,En cen nac aparece en vigo desde el 99,1998,01/01/2019,OTB_DEF_70-99_0_0,,01/01/2019,Vigo,01/01/2019,220.4,352.75,33,450,"Zona CIEM Vb, VI, VII y VIIIabd",Arrastre,Arrastre,Arrastre,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
293,Cantauri,3XXX0521,,,,VERDADERO,31/12/1999,Baja por cese de ventas,,,,,01/01/2019,Pasaia,01/01/2019,,,,,,,,,,
294,Cantero Segundo,3VI59710,ESP000002584,,,VERDADERO,22/11/2011,"18/02/05 IGH+JM: de cerco-curricán a curricán-líneas
baja provisional (censo SGMAR 22/11/2011)
Baja Censo SEAS al 1/7/14 (IAI)",1981,01/01/2019,LTL_LPF_0_0_0,LHM_SPF_0_0_0,01/01/2019,Bermeo,01/01/2019,49.84,57.3,20.15,410,Cantabrico Noroeste,Cerco,Cerco,Cerco,CERCO EN CANTABRICO NW,
295,Cap 7,3XXX0651,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Desconocido,01/01/2019,,,,,,,,,,
2753,Cap Finisterre,BA 934246,FRA000934246,,FJZI,FALSO,,,2018,01/01/2019,GNS_DEF_>=100_0_0,LLS_DEF_0_0_0,01/01/2019,Bayonne,01/01/2019,,269,27.5,639,,,,,Pabellón extranjero,
296,Cap Nord,PL 721470,FRA000721470,,,VERDADERO,31/12/1995,Baja por cese de ventas,,,,,01/01/2019,Paimpol,01/01/2019,,,,,,,,,Pabellón extranjero,
2795,Cap Pilar,CH 922443,FRA000922443,,FQED,FALSO,,,2002,,,,,,,,,,,,,,,,
297,Capredi Dos,3SS12418,ESP000007564,,,VERDADERO,26/01/2007,,1973,01/01/2019,PTB_MPD_>=55_0_0,,01/01/2019,Pasaia,01/01/2019,288.22,277,38.5,1100,"Zona CIEM Vb, VI, VII y VIIIabd",Arrastre,Arrastre,Arrastre,"ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde",
298,Capricho de Cambados,3VILL52-97,ESP000023536,224222760,EA2971,FALSO,,,1997,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Cambados,01/01/2019,49.32,89.27,23.5,370,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
299,Capricho de Persebellos,3VILL55-95,ESP000023059,224222770,EA 8987,FALSO,,,1995,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Cambados,01/01/2019,49.29,89.26,23.5,300,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
1621,Capricho Segundo,3VILL38624,ESP000005929,,,VERDADERO,01/09/1995,,,,,,01/01/2019,Cambados,,,,,,,,,,,
1622,Capricho Tercero,3VILL39038,ESP000005928,,,VERDADERO,04/07/1997,,,,,,01/01/2019,Cambados,,,,,,,,,,,
2564,Caprichosa Dos,3CO31605,ESP000021637,224131270,EB6624,FALSO,,,1990,01/01/2019,GNS_DEF_60-79_0_0,LHM_SPF_0_0_0,01/01/2019,Laxe,01/01/2019,19.94,30.43,17.2,160,ARTES MENORES EN CANTABRICO NW,ARTES MENORES,Bajura,,ARTES MENORES EN CANTABRICO NW,
300,Caraba,3ST41-95,ESP000023015,224017460,EA-8286,FALSO,,,1995,01/01/2019,GNS_DEF_>=100_0_0,LTL_LPF_0_0_0,01/01/2019,Bermeo,01/01/2019,66.41,84.19,25.9,250,RASCO EN CANTABRICO NW,,,,RASCO EN CANTABRICO NW,
2623,Carabas,IO 703717,FRA000703717,,,FALSO,,,1987,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Ile d'Oleron (Le Chateau),01/01/2019,19.99,14,11.97,167,,,,,Pabellón extranjero,
1474,Carbal Primero (ex Urgain Bat),3FE22988,ESP000000028,,,VERDADERO,02/11/2010,,1976,01/01/2019,GNS_DEF_100-119_0_0,LLS_DEF_0_0_0,01/01/2019,Vigo,01/01/2019,190.63,241,28.61,600,"ZONA CIEM VB, VI, VII Y VIIIABD",PALANGRE DE FONDO,PALANGRE DE FONDO,PALANGRE DE FONDO,"ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde",
301,Carcaman,3FE44-97,ESP000023845,224042890,,FALSO,,,1997,01/01/2019,PS_SPF_0_0_0,,01/01/2019,Pontedeume,01/01/2019,22.07,37.68,18.55,150,CERCO EN CANTABRICO NW,Cerco,Cerco,,CERCO EN CANTABRICO NW,
2609,Carla (ex Angelique Emilie),DP 749688,FRA000749688,,,FALSO,,,1991,01/01/2019,LLS_DEF_0_0_0,,01/01/2019,Lorient,01/01/2019,154.32,238,28.18,662,,,,,Pabellón extranjero,
302,Carlos,3XXX0482,,,,VERDADERO,31/12/2002,baja por cese de ventas,,01/01/2019,UNK_0_0_0,,01/01/2019,Desconocido,01/01/2019,,,,,,,,,,
1623,Carlos,3BI13126,ESP000000073,,,VERDADERO,12/11/1996,,,,,,01/01/2019,Lekeitio,,,,,,,,,,,
2785,Carmalia,LO924817,FRA000924817,,FMFK,FALSO,,,2005,,,,,,,,,,,,,,,,
303,Carmara,SO854,IRL000I10217,,,VERDADERO,06/02/2006,,,,,,01/01/2019,Sligo,01/01/2019,,,,,,,,,Pabellón extranjero,
1625,Carmen II,3XXX0455,,,,VERDADERO,31/12/1997,Baja por cese de ventas,,,,,01/01/2019,Hondarribia,,,,,,,,,,,
1626,Carmen Segundo,3SS21860,ESP000009095,,,VERDADERO,16/11/2000,,,,,,01/01/2019,Ondarroa,,,,,,,,,,,
