"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";6,412690514;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Lirio - Bacaladilla";"Lirio - Bacaladilla";"WHB";"Lirio - Bacaladilla";"WHB";372;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";4114,71001746;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Peon - pez plata";"Peon - pez plata";"ARY";"Peon - pez plata";"ARY";3,5;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Pintarroja";"Pintarroja";"SYC";"Pintarroja";"SYC";137,4;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Potas Ommastrephidae nep";"Potas Ommastrephidae nep";"OMZ";"Pota costera";"TDQ";180;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";35,54643177;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";169,53691118;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Sepias y chocos";"Sepias y chocos";"CTL";"Sepia comun";"CTC";130,5;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Arete oscuro ";"GUM";2,45758034;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Bejel";"GUU";1,286107902;1
530530;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Cuco - Peona";"GUR";24;1
530533;"GNS_DEF_>=100_0_0";"Bermeo";1;"Palometa roja (Beryx decadactylus)";"Palometa roja (Beryx decadactylus)";"BXD";"Palometa roja (Beryx decadactylus)";"BXD";1,424479821;1
530533;"GNS_DEF_>=100_0_0";"Bermeo";1;"Rapes Lophius";"Rape blanco";"MON";"Rape blanco";"MON";837,24;1
530533;"GNS_DEF_>=100_0_0";"Bermeo";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";51,24;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";317,9;1
