"Nombre_Buque","Puerto_Base","Censo","Trip","Fecha_Desembarco","Dia","Mes","Ano","Zona2","Metier","Peso","Metier_Rev","check"
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",531745,2020-03-11,12,3,2020,"27.8.c","PTB_MPD_>=55_0_0",1494.864,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",531968,2020-03-15,16,3,2020,"27.8.c","PTB_MPD_>=55_0_0",7862.074,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532146,2020-03-16,17,3,2020,"27.8.c","PTB_MPD_>=55_0_0",2862.5307,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532200,2020-03-18,19,3,2020,"27.8.c","PTB_MPD_>=55_0_0",635.611,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532466,2020-03-06,6,3,2020,"27.8.c","PTB_MPD_>=55_0_0",2430.8,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532600,2020-03-22,23,3,2020,"27.8.c","PTB_MPD_>=55_0_0",12175.54,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532728,2020-03-23,24,3,2020,"27.8.c","PTB_MPD_>=55_0_0",1798.1,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532800,2020-03-24,25,3,2020,"27.8.c","PTB_MPD_>=55_0_0",2911.8392,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532807,2020-03-25,26,3,2020,"27.8.c","PTB_MPD_>=55_0_0",7100.81,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",532935,2020-03-29,30,3,2020,"27.8.c","PTB_MPD_>=55_0_0",10411.725,"PTB_MPD_>=55_0_0",TRUE
