"IdBuque","fcCambio","Nombre","CodigoCFR","EsloraTotal","EsloraPP","ArqueoGT","FechaCambioDatosTecnicos","FechaCambioDatosMotor","PotenciaPropulsionTotalKW","FcCambioIdentificacion","PuertoBase","AL5_PuertoBase","ProvinciaPuertoBase","CensoPorModalidad","FcEfectoInicial","fcCambio2"
110750669,2014-11-12,"PREGO UNO","ESP000027650",6.8,5.44,1.74,2014-11-12,2014-11-12,25.74245,2014-11-12,"Cambados","ESCBD","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2014-11-12,2014-11-12
111020452,2014-11-18,"SARA P","ESP000027651",5.25,4.2,0.89,2014-11-18,2014-11-18,18.38746,2014-11-18,"El Grove","ESEGR","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2014-11-18,2014-11-18
111356794,2014-11-25,"CONCHA CINCO","ESP000027654",6.1,4.88,1.63,2014-11-25,2014-11-25,36.77493,2014-11-25,"Portonovo","ESZJN","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2014-11-25,2014-11-25
111647775,2014-12-02,"LA COMPARSITA","ESP000027655",14.8,11.63,14.38,2014-12-02,2014-12-02,73.54987,2014-12-02,"Isla Cristina","ESZGA","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2014-12-02,2014-12-02
111649993,2014-12-02,"NUEVO DAVID MATIAS","ESP000027656",7.85,7,1.86,2014-12-02,2014-12-02,8.82598,2014-12-02,"San Cristóbal","ESSCK","LAS PALMAS","ARTES MENORES EN CANARIAS",2014-12-02,2014-12-02
112850448,2015-01-09,"NUEVO ANGELES","ESP000027662",6.48,NA,1.98,2015-01-09,2015-01-09,14.70262,2015-01-09,"Isla Cristina","ESZGA","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2015-01-09,2015-01-09
112850448,2019-12-13,"NUEVO ANGELES","ESP000027662",6.48,NA,1.98,2015-01-09,2015-01-09,14.70262,2019-12-13,"Isla Cristina","ESZGA","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2015-01-09,2019-12-13
113885560,2015-02-05,"NUEVO IKER","ESP000058864",6.5,5.2,1.76,2015-02-05,2015-02-05,22.06496,2015-02-05,"Portosín","ESPRT","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-02-05,2015-02-05
114466612,2015-03-03,"NORUEGO","ESP000027667",28,23.5,197.76,2015-02-20,2015-02-20,294.1995,2015-02-20,"Santa Eugenia de Riveira","ESSNI","LA CORUÑA","PALANGRE DE SUPERFICIE EN PACIFICO E INDICO",2015-03-03,2015-03-03
114677687,2016-01-15,"BEFRANJUGEX DOS","ESP000027668",6.1,4.88,1.5,2015-02-25,2015-02-25,20.59396,2016-01-15,"Campelo","ESCPE","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2015-02-25,2016-01-15
114831383,2015-03-02,"MARGIL","ESP000027669",9.92,NA,3.95,2015-03-02,2015-03-02,22.06496,2015-03-02,"Santoña","ESSNN","CANTABRIA","ARTES MENORES EN CANTABRICO NW",2015-03-02,2015-03-02
114831383,2019-06-27,"MARGIL","ESP000027669",9.92,NA,3.95,2015-03-02,2015-03-02,22.06496,2019-06-27,"Santander","ESSDR","CANTABRIA","ARTES MENORES EN CANTABRICO NW",2015-03-02,2019-06-27
114872056,2019-02-04,"EL POLARIS","ESP000027670",9.85,NA,4.46,2015-03-03,2015-03-03,42.68834,2019-02-04,"Santoña","ESSNN","CANTABRIA","ARTES MENORES EN CANTABRICO NW",2015-03-03,2019-02-04
114877223,2015-03-03,"AMALIA MANUELA","ESP000027671",6.1,4.88,1.17,2015-03-03,2015-03-03,14.71732,2015-03-03,"Isla Cristina","ESZGA","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2015-03-03,2015-03-03
114956051,2015-04-27,"FARO TAPIA","ESP000027672",12.09,10.67,11.18,2015-03-05,2015-03-05,44.12992,2015-03-05,"Tapia de Casariego","ESTPC","PRINCIPADO DE ASTURIAS","ARTES MENORES EN CANTABRICO NW",2015-04-27,2015-04-27
114958005,2016-02-25,"XAVAMOS INDO TRES","ESP000027673",6.4,5.12,1.69,2015-03-05,2015-03-05,8.82598,2016-02-25,"Combarro","ESCBY","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2015-03-05,2016-02-25
114961933,2015-03-05,"CALA FIGUEIRA","ESP000058870",5.69,4.32,1.28,2015-03-05,2015-03-05,18.38746,2015-03-05,"Finisterre","ESFNE","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-03-05,2015-03-05
115141802,2017-11-27,"RODILES","ESP000027675",8.5,6.8,3.88,2015-03-10,2015-03-10,44.12992,2017-11-27,"Llanes","ESLNS","PRINCIPADO DE ASTURIAS","ARTES MENORES EN CANTABRICO NW",2015-03-10,2017-11-27
115706819,2015-05-28,"SISARGAS","ESP000058872",6.8,NA,2.01,2015-03-25,2015-03-25,7.28143,2015-05-28,"La Coruña","ESLCG","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-03-25,2015-05-28
115719804,2015-03-25,"NUEVO FLOR DEL MAR","ESP000027677",9.89,9.13,4.28,2015-03-25,2015-03-25,36.77493,2015-03-25,"Ribadesella","ESRBS","PRINCIPADO DE ASTURIAS","ARTES MENORES EN CANTABRICO NW",2015-03-25,2015-03-25
116477577,2018-03-08,"PARADANTA PRIMERO","ESP000027678",58.38,50,962,2015-04-15,2018-03-08,1165.76551,2015-04-15,"Marin","ESMPG","PONTEVEDRA","ARRASTREROS CONGELADORES AGUAS INTERNACIONALES Y TERCEROS PAISES",2015-04-15,2018-03-08
118528275,2015-06-03,"EL MAJARA","ESP000027682",7.4,6.32,1.4,2015-06-03,2015-06-03,20.59396,2015-06-03,"Rota","ESROT","CADIZ","ARTES MENORES  EN EL GOLFO DE CADIZ",2015-06-03,2015-06-03
118531298,2015-06-03,"MERY","ESP000058875",6.31,5.04,1.53,2015-06-03,2015-06-03,18.38746,2015-06-03,"Noia","ESNOA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-06-03,2015-06-03
118606933,2016-05-09,"ALVALUC II","ESP000027683",21,18.89,44.45,2015-06-05,2015-06-05,132.38977,2016-05-09,"Almería","ESLEI","ALMERIA","CERCO EN EL MEDITERRANEO",2015-06-05,2016-05-09
118778509,2015-06-09,"NUEVO SOCORREME","ESP000058876",5.7,4.56,1.5,2015-06-09,2015-06-09,18.38746,2015-06-09,"Rianjo","ESRIA","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2015-06-09,2015-06-09
