"CensoPorModalidad","CodigoCFR","Nombre_Buque","Puerto_Base","Ntrip_NV","Peso_NV","Ntrip_DO","Peso_DO"
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025426","CORVO","MUGIA",NA,NA,17,16763.71
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025490","Itoitz","ONDARROA",34,152281.9,45,153739.27
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025501","Gure Itxaropena","HONDARRIBIA",30,187551.9,39,187471.11
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000025650","Arantzazuko Izarra","HONDARRIBIA",29,190581.7,41,190577.5
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026233","Kala Berri","PASAIA",105,33194.6,116,34131.11
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026311","Gure Itxas Begi","BERMEO",88,152670.35,121,154189.55
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026367","NUEVO CARMEN","CUDILLERO",NA,NA,11,12888.7
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026384","Matxaku","BERMEO",21,145586.5,27,145616
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026670","Beti Lagun Bi","BERMEO",59,169266.92,NA,NA
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000026985","MAR DE PEDRO","CUDILLERO",NA,NA,2,1665.78
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027482","VIKINJO","CARREIRA-AGUIÑO",NA,NA,2,3464.41
"PALANGRE DE FONDO EN CANTABRICO NW","ESP000027730","SIEMPRE SAN PABLO","PUERTO DE VEGA",NA,NA,4,3518.97
"PALANGRE DE FONDO MENORES 100 TRB EN VIIIabde.","ESP000024507","Segmon","PUERTO DE VEGA",6,4526.4,13,100134.24
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000015657","Toniño Segundo","ONDARROA",33,330396,38,486589.92
"PALANGRE DE SUPERFICIE CALADERO NACIONAL","ESP000024130","Gure Leire (ex Nuevo Ruiz Saez)","ONDARROA",7,22652.6,11,32316.64
"RASCO EN CANTABRICO NW","ESP000023015","Caraba","BERMEO",39,169196.3,62,173296.72
"RASCO EN CANTABRICO NW","ESP000023019","Almikeko Ama (ex Beti Txanka)","BERMEO",29,168072.8,36,170388.02
"RASCO EN CANTABRICO NW","ESP000024328","Leporre Anaiak","BERMEO",17,158934.1,19,158933.5
"RASCO EN CANTABRICO NW","ESP000024627","Gaztelugatxeko Doniene","PASAIA",50,155655.7,57,157054.03
"RASCO EN CANTABRICO NW","ESP000025194","Nuevo Maxi y Mario (ex Nueva Amaya)","SANTOÑA",1,284.6,1,433.6
"RASCO EN CANTABRICO NW","ESP000026239","Goienkale (ex Gure Leporre Berria)","BERMEO",73,216210.8,41,221425.76
"VOLANTA EN CANTABRICO NW","ESP000024172","Berriz Albonigamayor","BERMEO",58,188283.25,29,188015.53
"VOLANTA EN CANTABRICO NW","ESP000024831","PEIXIÑO PRIMERO","CARIÑO",NA,NA,5,16617.62
"VOLANTA EN CANTABRICO NW","ESP000025792","Berezmar","BUSTIO",3,10822.2,5,13784.09
"VOLANTA EN CANTABRICO NW","ESP000026670","BETI LAGUN BI","BERMEO",NA,NA,65,171299.55
